"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"866820572201664512","","","2017-05-23 00:58:23 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","またそのうち関西勢で集まりたいなぁ","","","",""
"866817603611668480","866817331590070275","1272356180","2017-05-23 00:46:36 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@HAL44T お疲れ様です…。","","","",""
"866814043830362112","866813912607358981","247200985","2017-05-23 00:32:27 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@2niiti7 合唱団の人間関係でも何かあったの？","","","",""
"866813821213474820","866813659019739136","247200985","2017-05-23 00:31:34 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@2niiti7 学校での人間関係？","","","",""
"866813765806837760","","","2017-05-23 00:31:21 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @bromne: スマートフォンのアプリ作るとき、ログイン画面とか世界中で何万回も作られてるだろうから30秒ぐらいで作りたいんだけど、そうも行かないんだよね……。","866813704636989441","1555345596","2017-05-23 00:31:06 +0000",""
"866813447144591360","866813286158786560","247200985","2017-05-23 00:30:05 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@2niiti7 逃れたいことの中の一番は何？","","","",""
"866811806294999041","","","2017-05-23 00:23:33 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ahahsak: @takeda25 ふふふ、これはaです！！(ドヤァ)","866811715811278849","520310330","2017-05-23 00:23:12 +0000",""
"866811779157852163","866811715811278849","520310330","2017-05-23 00:23:27 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@ahahsak あぁぁ…。負けました…。","","","",""
"866811614112096256","866807987263766530","247200985","2017-05-23 00:22:48 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@2niiti7 なんで死にたいの？","","","",""
"866811192781570049","","","2017-05-23 00:21:07 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","“土曜日が楽しみだけどその前に乗り越えるべきことがいくつか”
ナチュラル短歌？","","","",""
